s_id	g_word	t_word	g_pos	t_pos	correct?
S_1	abracadabrantesquement	abracadabrantesquement	adv	ADV	1
S_2	accessibilisable	accessibilisable	adj	ADJ	1
S_3	accessibilisable	accessibilisable	adj	ADJ	1
S_4	Accessibiliser	Accessibiliser	verbe	NPP	0
S_5	accessibiliser	accessibiliser	verbe	VINF	1
S_6	animalistes	animalistes	nom	ADJ	0
S_7	animalistes	animalistes	nom	ADJ	0
S_8	animalistes	animalistes	nom	NC	1
S_9	animalistes	animalistes	nom	ADJ	0
S_10	animalistes	animalistes	nom	ADJ	0
S_11	animalistes	animalistes	nom	NC	1
S_12	animalistes	animalistes	nom	NC	1
S_13	animaliste	animaliste	adj	V	0
S_14	animaliste	animaliste	adj	V	0
S_15	animaliste	animaliste	adj	V	0
S_16	animaliste	animaliste	adj	V	0
S_17	animaliste	animaliste	adj	V	0
S_18	animaliste	animaliste	adj	V	0
S_19	animaliste	animaliste	adj	V	0
S_20	animaliste	animaliste	adj	V	0
S_21	antéclaviste	antéclaviste	nom	V	0
S_22	Antiféminismes	Antiféminismes	nom	NPP	0
S_23	antiféminisme	antiféminisme	nom	NC	1
S_24	antiféminisme	antiféminisme	nom	NC	1
S_25	antiféminisme	antiféminisme	nom	NC	1
S_26	antiféminisme	antiféminisme	nom	NC	1
S_27	antiféminisme	antiféminisme	nom	NC	1
S_28	antiféminisme	antiféminisme	nom	NC	1
S_29	antiféminisme	antiféminisme	nom	NC	1
S_30	antiféminisme	antiféminisme	nom	NC	1
S_31	antiféminisme	antiféminisme	nom	NC	1
S_32	antiféminisme	antiféminisme	nom	V	0
S_33	antiféminisme	antiféminisme	nom	NC	1
S_34	antiféminisme	antiféminisme	nom	NC	1
S_35	antiféminisme	antiféminisme	nom	NC	1
S_36	antiféministes	antiféministes	adj	ADJ	1
S_37	anuptaphobie	anuptaphobie	nom	V	0
S_38	apomédiation	apomédiation	nom	NC	1
S_39	apomédiation	apomédiation	nom	NC	1
S_40	aronistes	aronistes	nom	ADJ	0
S_41	aronistes	aronistes	nom	NC	1
S_42	assistanat	assistanat	nom	NC	1
S_43	assistant maternel	assistant maternel	MWE: nom, adj	VPR ADJ	0
S_44	assistant maternel	assistant maternel	MWE: nom, adj	VPR ADJ	0
S_45	assistant maternel	assistant maternel	MWE: nom, adj	VPR ADJ	0
S_46	athlétiser	athlétiser	verbe	VINF	1
S_47	attachiant	attachiant	adj	VPR	0
S_48	auteurisant	auteurisant	adj	VPR	0
S_49	auteurisant	auteurisant	adj	VPR	0
S_50	automagiquement	automagiquement	adv	NC	0
S_51	avant-gardisme	avant - gardisme	nom	P PONCT NC	0
S_52	avoir le seum	avoir le seum	MWE: verbe, det, nom	VINF DET NC	1
S_53	Avoir le seum	Avoir le seum	MWE: verbe, det, nom	VINF DET NC	1
S_54	battage	battage	nom	NC	1
S_55	berlusconisation	berlusconisation	nom	NC	1
S_56	berlusconisation	berlusconisation	nom	NC	1
S_57	berlusconisation	berlusconisation	nom	NC	1
S_58	beuglable	beuglable	adj	NC	0
S_59	beurgeois	beurgeois	nom	NC	1
S_60	beurgeoisie	beurgeoisie	nom	V	0
S_61	beurgeoisie	beurgeoisie	nom	V	0
S_62	bien-pensisme	bien - pensisme	nom	ADV PONCT NC	0
S_63	bien-pensisme	bien - pensisme	nom	ADV PONCT NC	0
S_64	bioaccumulables	bioaccumulables	adj	NC	0
S_65	bioaccumulables	bioaccumulables	adj	NC	0
S_66	bioaccumulable	bioaccumulable	adj	NC	0
S_67	bisounourserie	bisounourserie	nom	NC	1
S_68	bisounoursitude	bisounoursitude	nom	NC	1
S_69	bling-bling	bling - bling	adj	NC PONCT NC	0
S_70	bling-bling	bling - bling	adj	NC PONCT NC	0
S_71	blogouiller	blogouiller	verbe	NPP	0
S_72	bloguesque	bloguesque	adj	NC	0
S_73	Bobarder	Bobarder	verbe	NPP	0
S_74	bobarder	bobarder	verbe	NC	0
S_75	boboïsation	boboïsation	nom	NC	1
S_76	brownesque	brownesque	adj	V	0
S_77	brownesque	brownesque	adj	V	0
S_78	canaditude	canaditude	nom	NC	1
S_79	capotier	capotier	nom	ADJ	0
S_80	carburoculture	carburoculture	nom	NC	1
S_81	carburoculture	carburoculture	nom	NC	1
S_82	carburoculture	carburoculture	nom	NC	1
S_83	carburoculture	carburoculture	nom	NC	1
S_84	carburoculture	carburoculture	nom	NC	1
S_85	carburoculture	carburoculture	nom	NC	1
S_86	civilianisation	civilianisation	nom	NC	1
S_87	civilianisation	civilianisation	nom	NC	1
S_88	clivants	clivants	adj	ADJ	1
S_89	clivant	clivant	adj	VPR	0
S_90	clivants	clivants	adj	ADJ	1
S_91	clivants	clivants	adj	ADJ	1
S_92	clivé	clivé	verbe	VPP	1
S_93	cliver	cliver	verbe	VINF	1
S_94	Colisage	Colisage	nom	NC	1
S_95	colisage	colisage	nom	NC	1
S_96	Colisage	Colisage	nom	NC	1
S_97	colisage	colisage	nom	NC	1
S_98	colloquite	colloquite	nom	V	0
S_99	communalisme	communalisme	nom	NC	1
S_100	communalisme	communalisme	nom	NC	1
S_101	communalisme	communalisme	nom	NC	1
S_102	compenser carbone	compenser carbone	locution: verbe, nom	VINF NC	1
S_103	consoliers	consoliers	nom	NC	1
S_104	consoliers	consoliers	nom	NC	1
S_105	consolier	consolier	nom	ADJ	0
S_106	consoliers	consoliers	nom	ADJ	0
S_107	consoliers	consoliers	nom	NC	1
S_108	consoliers	consoliers	nom	NC	1
S_109	consoliers	consoliers	nom	NC	1
S_110	courrielleur	courrielleur	nom	NC	1
S_111	courrielleur	courrielleur	nom	ADJ	0
S_112	cssise	cssise	verbe	V	1
S_113	cssisé	cssisé	verbe	VPP	1
S_114	CSSisé	CSSisé	verbe	NPP	0
S_115	CSSiser	CSSiser	verbe	NPP	0
S_116	CSSiser	CSSiser	verbe	NPP	0
S_117	cythérographes	cythérographes	nom	NPP	0
S_118	décoristo	décoristo	nom	V	0
S_119	décoristo	décoristo	nom	V	0
S_120	décoristo	décoristo	nom	V	0
S_121	décoristo	décoristo	nom	V	0
S_122	décoristo	décoristo	nom	V	0
S_123	décoristo	décoristo	nom	NC	1
S_124	décrédibilisation	décrédibilisation	nom	NC	1
S_125	dégenrer	dégenrer	verbe	VINF	1
S_126	dégringouline	dégringouline	verbe	V	1
S_127	dégringouline	dégringouline	verbe	ADJ	0
S_128	DÉPARENTALISATION	DÉPARENTALISATION	nom	NPP	0
