s_id	g_word	t_word	g_pos	t_pos	correct?
S_1	abracadabrantesquement	abracadabrantesquement	adv	ADV	1
S_2	accessibilisable	accessibilisable	adj	AFS	1
S_3	accessibilisable	accessibilisable	adj	AFS	1
S_4	Accessibiliser	accessibiliser	verbe	VINF	1
S_5	accessibiliser	accessibiliser	verbe	VINF	1
S_6	animalistes	animalistes	nom	NFP	1
S_7	animalistes	animalistes	nom	NFP	1
S_8	animalistes	animalistes	nom	NFP	1
S_9	animalistes	animalistes	nom	NFP	1
S_10	animalistes	animalistes	nom	NFP	1
S_11	animalistes	animalistes	nom	NFP	1
S_12	animalistes	animalistes	nom	NFP	1
S_13	animaliste	animaliste	adj	NFS	0
S_14	animaliste	animaliste	adj	AFS	1
S_15	animaliste	animaliste	adj	AFS	1
S_16	animaliste	animaliste	adj	AFS	1
S_17	animaliste	animaliste	adj	AFS	1
S_18	animaliste	animaliste	adj	NFS	0
S_19	animaliste	animaliste	adj	AFS	1
S_20	animaliste	animaliste	adj	AFS	1
S_21	antéclaviste	antéclaviste	nom	NMS	1
S_22	Antiféminismes	antiféminismes	nom	NMP	1
S_23	antiféminisme	antiféminisme	nom	NMS	1
S_24	antiféminisme	antiféminisme	nom	NMS	1
S_25	antiféminisme	antiféminisme	nom	NMS	1
S_26	antiféminisme	antiféminisme	nom	NMS	1
S_27	antiféminisme	antiféminisme	nom	NMS	1
S_28	antiféminisme	antiféminisme	nom	NMS	1
S_29	antiféminisme	antiféminisme	nom	NMS	1
S_30	antiféminisme	antiféminisme	nom	NMS	1
S_31	antiféminisme	antiféminisme	nom	NMS	1
S_32	antiféminisme	antiféminisme	nom	NMS	1
S_33	antiféminisme	antiféminisme	nom	NMS	1
S_34	antiféminisme	antiféminisme	nom	NMS	1
S_35	antiféminisme	antiféminisme	nom	NMS	1
S_36	antiféministes	antiféministes	adj	NFP	0
S_37	anuptaphobie	anuptaphobie	nom	NFS	1
S_38	apomédiation	apomédiation	nom	NFS	1
S_39	apomédiation	apomédiation	nom	NFS	1
S_40	aronistes	aronistes	nom	NFP	1
S_41	aronistes	aronistes	nom	NFP	1
S_42	assistanat	assistanat	nom	NMS	1
S_43	assistant maternel	assistant maternel	MWE: nom, adj	NMS AMS	1
S_43	assistants maternels	assistants maternels	MWE: nom, adj	NMP AMP	1
S_44	assistant maternel	assistant maternel	MWE: nom, adj	NMS AMS	1
S_45	assistant maternel	assistant maternel	MWE: nom, adj	NMS AMS	1
S_46	athlétiser	athlétiser	verbe	VINF	1
S_47	attachiant	attachiant	adj	VPPRE	0
S_48	auteurisant	auteurisant	adj	AMS	1
S_49	auteurisant	auteurisant	adj	AMS	1
S_50	automagiquement	automagiquement	adv	ADV	1
S_51	avant-gardisme	Chalayan	nom	MOTINC	0
S_52	avoir le seum	avoir le seum	MWE: verbe, det, nom	VINF DETMS NMS	1
S_53	Avoir le seum	avoir le seum	MWE: verbe, det, nom	VINF DETMS NMS	1
S_54	battage	battage	nom	NMS	1
S_55	berlusconisation	berlusconisation	nom	NFS	1
S_56	berlusconisation	berlusconisation	nom	NFS	1
S_57	berlusconisation	berlusconisation	nom	NFS	1
S_58	beuglable	beuglable	adj	AFS	1
S_59	beurgeois	beurgeois	nom	NMS	1
S_60	beurgeoisie	beurgeoisie	nom	NFS	1
S_61	beurgeoisie	beurgeoisie	nom	NFS	1
S_62	bien-pensisme	.	nom	YPFOR	0
S_63	bien-pensisme	.	nom	YPFOR	0
S_64	bioaccumulables	bioaccumulables	adj	AFP	1
S_65	bioaccumulables	bioaccumulables	adj	AFP	1
S_66	bioaccumulable	bioaccumulable	adj	AFS	1
S_67	bisounourserie	bisounourserie	nom	NFS	1
S_68	bisounoursitude	bisounoursitude	nom	NFS	1
S_69	bling-bling	.	adj	YPFOR	0
S_70	bling-bling	.	adj	YPFOR	0
S_71	blogouiller	blogouiller	verbe	VINF	1
S_72	bloguesque	bloguesque	adj	AFS	1
S_73	Bobarder	bobarder	verbe	VINF	1
S_74	bobarder	bobarder	verbe	VINF	1
S_75	boboïsation	boboïsation	nom	NFS	1
S_76	brownesque	brownesque	adj	AFS	1
S_77	brownesque	brownesque	adj	AFS	1
S_78	canaditude	canaditude	nom	NFS	1
S_79	capotier	capotier	nom	NMS	1
S_80	carburoculture	carburoculture	nom	NFS	1
S_81	carburoculture	carburoculture	nom	NFS	1
S_82	carburoculture	carburoculture	nom	NFS	1
S_83	carburoculture	carburoculture	nom	NFS	1
S_84	carburoculture	carburoculture	nom	NFS	1
S_85	carburoculture	carburoculture	nom	NFS	1
S_86	civilianisation	civilianisation	nom	NFS	1
S_87	civilianisation	civilianisation	nom	NFS	1
S_88	clivants	clivants	adj	AMP	1
S_89	clivant	clivant	adj	AMS	1
S_90	clivants	clivants	adj	AMP	1
S_91	clivants	clivants	adj	AMP	1
S_92	clivé	clivé	verbe	VPPMS	1
S_93	cliver	cliver	verbe	VINF	1
S_94	Colisage	colisage	nom	NMS	1
S_95	colisage	colisage	nom	NMS	1
S_96	Colisage	colisage	nom	NMS	1
S_97	colisage	colisage	nom	NMS	1
S_98	colloquite	colloquite	nom	AFS	0
S_99	communalisme	communalisme	nom	NMS	1
S_100	communalisme	communalisme	nom	NMS	1
S_101	communalisme	communalisme	nom	NMS	1
S_102	compenser carbone	compenser carbone	locution: verbe, nom	VINF NMS	1
S_103	consoliers	consoliers	nom	NMP	1
S_104	consoliers	consoliers	nom	NMP	1
S_105	consolier	consolier	nom	NMS	1
S_106	consoliers	consoliers	nom	NMP	1
S_107	consoliers	consoliers	nom	NMP	1
S_108	consoliers	consoliers	nom	NMP	1
S_109	consoliers	consoliers	nom	NMP	1
S_110	courrielleur	courrielleur	nom	NMS	1
S_111	courrielleur	courrielleur	nom	NMS	1
S_112	cssise	cssise	verbe	NFS	0
S_113	cssisé	cssisé	verbe	VPPMS	1
S_114	CSSisé	CSSisé	verbe	MOTINC	0
S_115	CSSiser	CSSiser	verbe	MOTINC	0
S_116	CSSiser	CSSiser	verbe	MOTINC	0
S_117	cythérographes	cythérographes	nom	NFP	1
S_118	décoristo	décoristo	nom	NMS	1
S_119	décoristo	décoristo	nom	NMS	1
S_120	décoristo	décoristo	nom	NMS	1
S_121	décoristo	décoristo	nom	NMS	1
S_122	décoristo	décoristo	nom	NMS	1
S_123	décoristo	décoristo	nom	NMS	1
S_124	décrédibilisation	décrédibilisation	nom	NFS	1
S_125	dégenrer	dégenrer	verbe	NMS	0
S_126	dégringouline	dégringouline	verbe	AFS	0
S_127	dégringouline	dégringouline	verbe	NFS	0
S_128	DÉPARENTALISATION	DÉPARENTALISATION	nom	MOTINC	0
S_129	déparentalisation	déparentalisation	nom	NFS	1
S_130	déparentalisation	déparentalisation	nom	NFS	1
S_131	déparentalisation	déparentalisation	nom	NFS	1
S_132	déparentalisation	déparentalisation	nom	NFS	1
S_133	déparentalisation	déparentalisation	nom	NFS	1
S_134	déparentalisation	déparentalisation	nom	NFS	1
S_135	déparentalisation	déparentalisation	nom	NFS	1
S_136	déparentalisation	déparentalisation	nom	NFS	1
S_137	déparentalisation	déparentalisation	nom	NFS	1
S_138	déparentalisation	déparentalisation	nom	NFS	1
S_139	déparentalisation	déparentalisation	nom	NFS	1
S_140	déparentalisation	déparentalisation	nom	NFS	1
S_141	déparentalisait	déparentalisait	verbe	V3S	1
S_142	désécuritisation	désécuritisation	nom	NFS	1
S_143	désécuritisation	désécuritisation	nom	NFS	1
S_144	désécuritisation	désécuritisation	nom	NFS	1
S_145	discrétisation	discrétisation	nom	NFS	1
S_146	Disponibiliser	disponibiliser	verbe	VINF	1
S_147	Disponibiliser	disponibiliser	verbe	VINF	1
S_148	disponibiliser	disponibiliser	verbe	VINF	1
S_149	doulas	doulas	nom	NMP	1
S_150	doulas	doulas	nom	NMP	1
S_151	Doula	Doula	nom	MOTINC	0
S_151	doulas	doulas	nom	NFP	1
S_152	doulas	doulas	nom	NMP	1
S_153	doulas	doulas	nom	NFP	1
S_154	doulas	doulas	nom	NMP	1
S_155	égosilleur	égosilleur	nom	NMS	1
S_156	égosilleur	égosilleur	nom	NMS	1
S_157	eRRogène	eRRogène	adj	AFS	1
S_158	errogène	errogène	adj	AFS	1
S_159	eurolâtres	eurolâtres	nom	NMP	1
S_160	face-kini	.	nom	YPFOR	0
S_161	face-kinis	.	nom	YPFOR	0
S_162	face-kini	.	nom	YPFOR	0
S_163	face-kini	.	nom	YPFOR	0
