s_id	g_word	t_word	g_pos	t_pos	correct?
S_1	abracadabrantesquement	abracadabrantesquement	adv	NC	0
S_2	accessibilisable	accessibilisable	adj	_ADV	0
S_3	accessibilisable	accessibilisable	adj	_NC	0
S_4	Accessibiliser	Accessibiliser	verbe	NC	0
S_5	accessibiliser	accessibiliser	verbe	ET	0
S_6	animalistes	animalistes	nom	ADJ	0
S_7	animalistes	animalistes	nom	_PRO	0
S_8	animalistes	animalistes	nom	ADJ	0
S_9	animalistes	animalistes	nom	ADJ	0
S_10	animalistes	animalistes	nom	ADJ	0
S_11	animalistes	animalistes	nom	ADJ	0
S_12	animalistes	animalistes	nom	ADJ	0
S_13	animaliste	animaliste	adj	NC	0
S_14	animaliste	animaliste	adj	_NPP	0
S_15	animaliste	animaliste	adj	ET	0
S_16	animaliste	animaliste	adj	ET	0
S_17	animaliste	animaliste	adj	ET	0
S_18	animaliste	animaliste	adj	NC	0
S_19	animaliste	animaliste	adj	NC	0
S_20	animaliste	animaliste	adj	ADJ	1
S_21	antéclaviste	antéclaviste	nom	ET	0
S_22	Antiféminismes	Antiféminismes	nom	NC	1
S_23	antiféminisme	antiféminisme	nom	ADJ	0
S_24	antiféminisme	antiféminisme	nom	ADJ	0
S_25	antiféminisme	antiféminisme	nom	ADJ	0
S_26	antiféminisme	antiféminisme	nom	ADJ	0
S_27	antiféminisme	antiféminisme	nom	ET	0
S_28	antiféminisme	antiféminisme	nom	NC	1
S_29	antiféminisme	antiféminisme	nom	NC	1
S_30	antiféminisme	antiféminisme	nom	ADJ	0
S_31	antiféminisme	antiféminisme	nom	ADJ	0
S_32	antiféminisme	antiféminisme	nom	ADJ	0
S_33	antiféminisme	antiféminisme	nom	ADJ	0
S_34	antiféminisme	antiféminisme	nom	ADJ	0
S_35	antiféminisme	antiféminisme	nom	ADJ	0
S_36	antiféministes	antiféministes	adj	NC	0
S_37	anuptaphobie	anuptaphobie	nom	ADJ	0
S_38	apomédiation	apomédiation	nom	ADJ	0
S_39	apomédiation	apomédiation	nom	ADJ	0
S_40	aronistes	aronistes	nom	ADJ	0
S_41	aronistes	aronistes	nom	_NPP	0
S_42	assistanat	assistanat	nom	ADJ	0
S_43	assistant maternel	assistant maternel	MWE: nom, adj	ADJ NC	0
S_44	assistant maternel	assistant maternel	MWE: nom, adj	ADJ NC	0
S_45	assistant maternel	assistant maternel	MWE: nom, adj	ADJ NC	0
S_46	athlétiser	athlétiser	verbe	NC	0
S_47	attachiant	attachiant	adj	_NC	0
S_48	auteurisant	auteurisant	adj	ADJ	1
S_49	auteurisant	auteurisant	adj	NC	0
S_50	automagiquement	automagiquement	adv	NC	0
S_51	avant-gardisme	avant-gardisme	nom	_NPP	0
S_52	avoir le seum	avoir le seum	MWE: verbe, det, nom	VINF DET NC	1
S_53	Avoir le seum	Avoir le seum	MWE: verbe, det, nom	_NPP _NPP _NPP	0
