s_id	g_word	t_word	g_pos	t_pos	correct?
S_1	abracadabrantesquement	abracadabrantesquement	adv	ADV	1
S_2	accessibilisable	accessibilisable	adj	A	1
S_3	accessibilisable	accessibilisable	adj	A	1
S_4	Accessibiliser	Accessibiliser	verbe	V	1
S_5	accessibiliser	d'accessibiliser	verbe	V	1
S_6	animalistes	animalistes	nom	N	1
S_7	animalistes	animalistes	nom	N	1
S_8	animalistes	animalistes	nom	N	1
S_9	animalistes	animalistes	nom	N	1
S_10	animalistes	animalistes	nom	N	1
S_11	animalistes	animalistes	nom	N	1
S_12	animalistes	animalistes	nom	N	1
S_13	animaliste	animaliste	adj	A	1
S_14	animaliste	animaliste	adj	A	1
S_15	animaliste	animaliste	adj	A	1
S_16	animaliste	animaliste	adj	A	1
S_17	animaliste	animaliste	adj	A	1
S_18	animaliste	animaliste	adj	A	1
S_19	animaliste	animaliste	adj	A	1
S_20	animaliste	animaliste	adj	A	1
S_21	antéclaviste	antéclaviste	nom	A	0
S_22	Antiféminismes	Antiféminismes	nom	N	1
S_23	antiféminisme	l'antiféminisme	nom	N	1
S_24	antiféminisme	l'antiféminisme	nom	N	1
S_25	antiféminisme	l'antiféminisme	nom	N	1
S_26	antiféminisme	antiféminisme	nom	N	1
S_27	antiféminisme	L'antiféminisme	nom	N	1
S_28	antiféminisme	antiféminisme	nom	N	1
S_29	antiféminisme	d'antiféminisme	nom	N	1
S_30	antiféminisme	l'antiféminisme	nom	N	1
S_31	antiféminisme	antiféminisme	nom	N	1
S_32	antiféminisme	L'antiféminisme	nom	N	1
S_33	antiféminisme	l'antiféminisme	nom	N	1
S_34	antiféminisme	antiféminisme	nom	N	1
S_35	antiféminisme	l'antiféminisme	nom	N	1
S_36	antiféministes	antiféministes	adj	A	1
S_37	anuptaphobie	l'anuptaphobie	nom	N	1
S_38	apomédiation	l'apomédiation	nom	N	1
S_39	apomédiation	l'apomédiation	nom	N	1
S_40	aronistes	aronistes	nom	N	1
S_41	aronistes	aronistes	nom	N	1
S_42	assistanat	d'assistanat	nom	A	0
S_43	assistant maternel	d'assistant maternel	MWE: nom, adj	A A	0
S_44	assistant maternel	assistant maternel	MWE: nom, adj	A N	0
S_45	assistant maternel	assistant maternel	MWE: nom, adj	A N	0
S_46	athlétiser	athlétiser	verbe	V	1
S_47	attachiant	attachiant	adj	V	0
S_48	auteurisant	auteurisant	adj	V	0
S_49	auteurisant	auteurisant	adj	A	1
S_50	automagiquement	automagiquement	adv	ADV	1
S_51	avant-gardisme	l'avant-gardisme	nom	N	1
S_52	avoir le seum	avoir le seum	MWE: verbe, det, nom	V D N	1
S_53	Avoir le seum	Avoir le seum	MWE: verbe, det, nom	V D N	1
S_54	battage	battage	nom	N	1
S_55	berlusconisation	berlusconisation	nom	N	1
S_56	berlusconisation	berlusconisation	nom	N	1
S_57	berlusconisation	berlusconisation	nom	N	1
S_58	beuglable	beuglable	adj	A	1
S_59	beurgeois	beurgeois	nom	N	1
S_60	beurgeoisie	beurgeoisie	nom	N	1
S_61	beurgeoisie	beurgeoisie	nom	N	1
S_62	bien-pensisme	bien-pensisme	nom	N	1
S_63	bien-pensisme	bien-pensisme	nom	N	1
S_64	bioaccumulables	bioaccumulables	adj	A	1
S_65	bioaccumulables	bioaccumulables	adj	A	1
S_66	bioaccumulable	bioaccumulable	adj	A	1
S_67	bisounourserie	bisounourserie	nom	N	1
S_68	bisounoursitude	bisounoursitude	nom	N	1
S_69	bling-bling	bling-bling	adj	A	1
S_70	bling-bling	bling-bling	adj	N	0
S_71	blogouiller	blogouiller	verbe	V	1
S_72	bloguesque	bloguesque	adj	A	1
S_73	Bobarder	Bobarder	verbe	V	1
S_74	bobarder	bobarder	verbe	V	1
S_75	boboïsation	boboïsation	nom	N	1
S_76	brownesque	brownesque	adj	A	1
S_77	brownesque	brownesque	adj	A	1
S_78	canaditude	canaditude	nom	N	1
S_79	capotier	capotier	nom	N	1
