s_id	g_word	t_word	g_pos	t_pos	correct?
S_1	abracadabrantesquement	abracadabrantesquement	adv	NOM	0
S_2	accessibilisable	accessibilisable	adj	ADJ	1
S_3	accessibilisable	accessibilisable	adj	ADJ	1
S_4	Accessibiliser	Accessibiliser	verbe	VER:infi	1
S_5	accessibiliser	accessibiliser	verbe	VER:infi	1
S_6	animalistes	animalistes	nom	NOM	1
S_7	animalistes	animalistes	nom	NOM	1
S_8	animalistes	animalistes	nom	NOM	1
S_9	animalistes	animalistes	nom	NOM	1
S_10	animalistes	animalistes	nom	NOM	1
S_11	animalistes	animalistes	nom	NOM	1
S_12	animalistes	animalistes	nom	NOM	1
S_13	animaliste	animaliste	adj	ADJ	1
S_14	animaliste	animaliste	adj	ADJ	1
S_15	animaliste	animaliste	adj	ADJ	1
S_16	animaliste	animaliste	adj	ADJ	1
S_17	animaliste	animaliste	adj	ADJ	1
S_18	animaliste	animaliste	adj	ADJ	1
S_19	animaliste	animaliste	adj	ADJ	1
S_20	animaliste	animaliste	adj	ADJ	1
S_21	antéclaviste	antéclaviste	nom	ADJ	0
S_22	Antiféminismes	Antiféminismes	nom	NOM	1
S_23	antiféminisme	antiféminisme	nom	NOM	1
S_24	antiféminisme	antiféminisme	nom	NOM	1
S_25	antiféminisme	antiféminisme	nom	NOM	1
S_26	antiféminisme	antiféminisme	nom	NOM	1
S_27	antiféminisme	antiféminisme	nom	NOM	1
S_28	antiféminisme	antiféminisme	nom	NOM	1
S_29	antiféminisme	antiféminisme	nom	NOM	1
S_30	antiféminisme	antiféminisme	nom	NOM	1
S_31	antiféminisme	antiféminisme	nom	NOM	1
S_32	antiféminisme	antiféminisme	nom	NOM	1
S_33	antiféminisme	antiféminisme	nom	NOM	1
S_34	antiféminisme	antiféminisme	nom	NOM	1
S_35	antiféminisme	antiféminisme	nom	NOM	1
S_36	antiféministes	antiféministes	adj	ADJ	1
S_37	anuptaphobie	anuptaphobie	nom	NOM	1
S_38	apomédiation	apomédiation	nom	NOM	1
S_39	apomédiation	apomédiation	nom	NOM	1
S_40	aronistes	aronistes	nom	NOM	1
S_41	aronistes	aronistes	nom	NOM	1
S_42	assistanat	assistanat	nom	NOM	1
S_43	assistant maternel	assistant maternel	MWE: nom, adj	NOM ADJ	1
S_43	assistants maternels	assistant maternel	MWE: nom, adj	VER:ppre ADJ	0
S_44	assistant maternel	assistant maternel	MWE: nom, adj	NOM ADJ	1
S_45	assistant maternel	assistant maternel	MWE: nom, adj	NOM ADJ	1
S_46	athlétiser	athlétiser	verbe	VER:infi	1
S_47	attachiant	attachiant	adj	ADJ	1
S_48	auteurisant	auteurisant	adj	NOM	0
S_49	auteurisant	auteurisant	adj	NOM	0
S_50	automagiquement	automagiquement	adv	NOM	0
S_51	avant-gardisme	avant-gardisme	nom	NOM	1
S_52	avoir le seum	avoir le seum	MWE: verbe, det, nom	VER:infi DET:ART NOM	1
S_53	Avoir le seum	Avoir le seum	MWE: verbe, det, nom	VER:infi DET:ART NOM	1
S_54	battage	battage	nom	NOM	1
S_55	berlusconisation	berlusconisation	nom	NOM	1
S_56	berlusconisation	berlusconisation	nom	NOM	1
S_57	berlusconisation	berlusconisation	nom	NOM	1
S_58	beuglable	beuglable	adj	ADJ	1
S_59	beurgeois	beurgeois	nom	NOM	1
S_60	beurgeoisie	beurgeoisie	nom	NOM	1
S_61	beurgeoisie	beurgeoisie	nom	NOM	1
S_62	bien-pensisme	bien-pensisme	nom	NOM	1
S_63	bien-pensisme	bien-pensisme	nom	NOM	1
S_64	bioaccumulables	bioaccumulables	adj	ADJ	1
S_65	bioaccumulables	bioaccumulables	adj	ADJ	1
S_66	bioaccumulable	bioaccumulable	adj	NOM	0
S_67	bisounourserie	bisounourserie	nom	NOM	1
S_68	bisounoursitude	bisounoursitude	nom	NOM	1
S_69	bling-bling	bling-bling	adj	NOM	0
S_70	bling-bling	bling-bling	adj	ADJ	1
S_71	blogouiller	blogouiller	verbe	VER:infi	1
S_72	bloguesque	bloguesque	adj	ADJ	1
S_73	Bobarder	Bobarder	verbe	VER:infi	1
S_74	bobarder	bobarder	verbe	VER:infi	1
S_75	boboïsation	boboïsation	nom	NOM	1
S_76	brownesque	brownesque	adj	ADJ	1
S_77	brownesque	brownesque	adj	ADJ	1
S_78	canaditude	canaditude	nom	NOM	1
S_79	capotier	capotier	nom	NOM	1
S_80	carburoculture	carburoculture	nom	NOM	1
S_81	carburoculture	carburoculture	nom	NOM	1
S_82	carburoculture	carburoculture	nom	NOM	1
S_83	carburoculture	carburoculture	nom	NOM	1
S_84	carburoculture	carburoculture	nom	NOM	1
S_85	carburoculture	carburoculture	nom	NOM	1
S_86	civilianisation	civilianisation	nom	NOM	1
S_87	civilianisation	civilianisation	nom	NOM	1
S_88	clivants	clivants	adj	ADJ	1
S_89	clivant	clivant	adj	VER:ppre	0
S_90	clivants	clivants	adj	ADJ	1
S_91	clivants	clivants	adj	ADJ	1
S_92	clivé	clivé	verbe	VER:pper	1
S_93	cliver	cliver	verbe	VER:infi	1
S_94	Colisage	Colisage	nom	NAM	1
S_95	colisage	colisage	nom	NOM	1
S_96	Colisage	Colisage	nom	NOM	1
S_97	colisage	colisage	nom	NOM	1
S_98	colloquite	colloquite	nom	NOM	1
S_99	communalisme	communalisme	nom	NOM	1
S_100	communalisme	communalisme	nom	NOM	1
S_101	communalisme	communalisme	nom	NOM	1
S_102	compenser carbone	compenser carbone	locution: verbe, nom	VER:infi NOM	1
S_103	consoliers	consoliers	nom	NOM	1
S_104	consoliers	consoliers	nom	NOM	1
S_105	consolier	consolier	nom	NOM	1
S_106	consoliers	consoliers	nom	NOM	1
S_107	consoliers	consoliers	nom	NOM	1
S_108	consoliers	consoliers	nom	NOM	1
S_109	consoliers	consoliers	nom	NOM	1
S_110	courrielleur	courrielleur	nom	NOM	1
S_111	courrielleur	courrielleur	nom	NOM	1
S_112	cssise	cssise	verbe	VER:pper	1
S_113	cssisé	cssisé	verbe	VER:pper	1
S_114	CSSisé	CSSisé	verbe	VER:pper	1
S_115	CSSiser	CSSiser	verbe	VER:infi	1
S_116	CSSiser	CSSiser	verbe	NAM	0
S_117	cythérographes	cythérographes	nom	NOM	1
S_118	décoristo	décoristo	nom	NOM	1
S_119	décoristo	décoristo	nom	NOM	1
S_120	décoristo	décoristo	nom	NOM	1
S_121	décoristo	décoristo	nom	NOM	1
S_122	décoristo	décoristo	nom	NOM	1
S_123	décoristo	décoristo	nom	NOM	1
S_124	décrédibilisation	décrédibilisation	nom	NOM	1
S_125	dégenrer	dégenrer	verbe	VER:infi	1
S_126	dégringouline	dégringouline	verbe	ADJ	0
S_127	dégringouline	dégringouline	verbe	VER:subp	1
S_128	DÉPARENTALISATION	DÉPARENTALISATION	nom	NOM	1
S_129	déparentalisation	déparentalisation	nom	NOM	1
S_130	déparentalisation	déparentalisation	nom	NOM	1
S_131	déparentalisation	déparentalisation	nom	NOM	1
S_132	déparentalisation	déparentalisation	nom	NOM	1
S_133	déparentalisation	déparentalisation	nom	NOM	1
S_134	déparentalisation	déparentalisation	nom	NOM	1
S_135	déparentalisation	déparentalisation	nom	NOM	1
S_136	déparentalisation	déparentalisation	nom	NOM	1
S_137	déparentalisation	déparentalisation	nom	NOM	1
S_138	déparentalisation	déparentalisation	nom	NOM	1
S_139	déparentalisation	déparentalisation	nom	NOM	1
S_140	déparentalisation	déparentalisation	nom	NOM	1
S_141	déparentalisait	déparentalisait	verbe	VER:impf	1
S_142	désécuritisation	désécuritisation	nom	NOM	1
S_143	désécuritisation	désécuritisation	nom	NOM	1
S_144	désécuritisation	désécuritisation	nom	NOM	1
S_145	discrétisation	discrétisation	nom	NOM	1
S_146	Disponibiliser	Disponibiliser	verbe	VER:infi	1
S_147	Disponibiliser	Disponibiliser	verbe	VER:infi	1
S_148	disponibiliser	disponibiliser	verbe	VER:infi	1
S_149	doulas	doulas	nom	NOM	1
S_150	doulas	doulas	nom	NOM	1
S_151	Doula	Doula	nom	NAM	1
S_151	doulas	doulas	nom	NOM	1
S_152	doulas	doulas	nom	NOM	1
S_153	doulas	doulas	nom	NOM	1
S_154	doulas	doulas	nom	NOM	1
S_155	égosilleur	égosilleur	nom	NOM	1
S_156	égosilleur	égosilleur	nom	NOM	1
S_157	eRRogène	eRRogène	adj	NOM	0
S_158	errogène	errogène	adj	ADJ	1
S_159	eurolâtres	eurolâtres	nom	NOM	1
S_160	face-kini	face-kini	nom	NOM	1
S_161	face-kinis	face-kinis	nom	NOM	1
S_162	face-kini	face-kini	nom	NOM	1
S_163	face-kini	face-kini	nom	NOM	1
S_164	face-kini	face-kini	nom	NOM	1
S_165	fadettes	fadettes	nom	NOM	1
S_166	fadettes	fadettes	nom	NOM	1
S_167	fadettes	fadettes	nom	NOM	1
S_168	fadettes	fadettes	nom	NOM	1
S_169	fadettes	fadettes	nom	NOM	1
S_170	fadettes	fadettes	nom	NOM	1
S_171	fadette	fadette	nom	NOM	1
S_172	fadettes	fadettes	nom	NOM	1
S_173	fashionista	fashionista	nom	NOM	1
S_174	Felin	Felin	nom	NAM	1
S_175	Felin	Felin	nom	NAM	1
S_176	Felin	Felin	nom	NAM	1
S_177	Felin	Felin	nom	NAM	1
S_178	Felin	Felin	nom	NAM	1
S_179	Felin	Felin	nom	NAM	1
S_180	Felin	Felin	nom	NAM	1
S_181	féminicides	féminicides	nom	ADJ	0
S_182	féminicides	féminicides	nom	ADJ	0
S_183	féminicide	féminicide	nom	NOM	1
S_183	féminicides	féminicides	nom	ADJ	0
S_184	féminicides	féminicides	nom	NOM	1
S_185	féminicide	féminicide	nom	NOM	1
S_186	féminicide	féminicide	nom	NOM	1
